filename	reference_author	reference_year	reference_title
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	 webber, s.c., porter, m.m., menec, v.h.	2010	" mobility in older adults: a comprehensive
    framework"
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	 marshall, s.c.	2008	" the role of reduced ﬁtness to drive due to medical impairments in explaining
    crashes involving older drivers"
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	" national highway trafﬁc safety administration. preliminary statement of policy concerning
    automated vehicles (2013). http"	2013	"//www.nhtsa.gov/staticﬁles/rulemaking/pdf/automated_
    vehicles_policy.pdf
 "
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	 the irish longitudinal study on ageing (tilda) wave 4, 20		 the irish longitudinal study on ageing 
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	" [dataset]. version 4.0. irish
    social science data archive. sn"	2019	0053-05 (2019)
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	 cahill, j.	2019	 human factors & ethics canvas: a white paper (2019)
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	 pruitt, j., grudin, j.	2003	 personas: practice and theory
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	 carroll, j.m.	1995	" scenario-based design: envisioning work and technology in system
    development"
Driver-Persistence-Safety-and-Older-Adult-Selfefficacy-Addressing-Driving-Challenges-Using-Innovative-Multimodal-Communication-ConceptsAdvances-in-Intelligent-Systems-and-Computing.pdf	" cahill, j., crowley, k., cromie, s., kay, a., gormley, m., kenny, e., hermman, s., doyle,
    c, hever, h., ross, r."	2020	" ethical issues in the new digital era: the case of assisting driving
    [online first], intechopen (2020)"
LOOK-O~1.PDF	 bickmore, t., mauer, d.	2006	" modalities for building relationships with handheld com-
    puter agents"
LOOK-O~1.PDF	 bickmore, t., gruber, a.	2010	 relational agents in clinical psychiatry
LOOK-O~1.PDF	 bosse, t., de lange, f.p.j.	2008	" development of virtual agents with a theory of
    emotion regulation"
LOOK-O~1.PDF	 bosse, t., pontier, m., siddiqui, g.f., treur, j.	2007	" incorporating emotion regula-
    tion into virtual stories"
LOOK-O~1.PDF	 bosse, t., pontier, m., treur, j.	2010	" a computational model based on gross’ emotion
    regulation theory"
LOOK-O~1.PDF	 cartreine, j.a., ahern, d.k., locke, s.e.	2010	" a roadmap to computer-based psy-
    chotherapy in the united states"
LOOK-O~1.PDF	 clark, a.j.	2007	 empathy in counseling and psychotherapy
LOOK-O~1.PDF	 dias, j., paiva, a.	2005	" feeling and reasoning: a computational model for emotional
    characters"
LOOK-O~1.PDF	 gross, j.j.	2001	 emotion regulation in adulthood: timing is everything
LOOK-O~1.PDF	 gross, j.j., thompson, r.a.	2007	 emotion regulation: conceptual foundations
LOOK-O~1.PDF	 hoorn, j.f., pontier, m., siddiqui, g.f.	2008	" when the user is instrumental to robot
    goals"
LOOK-O~1.PDF	 hoorn, j.f., pontier, m., siddiqui, g.f.	2012	" coppélius’ concoction: similarity and
    complementarity among three aﬀect-related agent models"
LOOK-O~1.PDF	 marsella, s., gratch, j.	2003	" modeling coping behavior in virtual humans don’t
    worry, be happy"
LOOK-O~1.PDF	 marsella, s., gratch, j. e.	2009	 a model of emotional dynamics
LOOK-O~1.PDF	 martı́nez-miranda, j., bresó, a., garcı́a-gómez, j.m.	2014	" modelling two emotion
    regulation strategies as key features of therapeutic empathy"
LOOK-O~1.PDF	 ortony, a., clore, g., collins, a.	1988	 the cognitive structure of emotions
LOOK-O~1.PDF	 puskar, k., schlenk, e., callan, j., bickmore, t., sereika, s.	2012	" relational agents
    as an adjunct in treating schizophrenia: case studies"
LOOK-O~1.PDF	" rizzo, a., forbell, e., lange, b., buckwalter, j.g., williams, j., sagae, k., traum,
    d."	2012	" simcoach: an online intelligent virtual agent system for breaking down
    barriers to care for service members and veterans"
LOOK-O~1.PDF	 rogers, c.r.	1967	 on becoming a person: a therapist’s view of psychotherapy
LOOK-O~1.PDF	 thwaites, r., bennett-levy, j.	2007	" conceptualizing empathy in cognitive behaviour
    therapy: making the implicit explicit"
THE-UN~1.PDF	 agarawala, a., balakrishnan, r.	2006	" keepin’it real: pushing the desktop metaphor with
    physics, piles and the pen"
THE-UN~1.PDF	 altakrouri, b., kawsar, f., kortuem, g.	2010	" spin&swing: spatial interaction with orientation
    aware devices"
THE-UN~1.PDF	 bakker, s., van den hoven, e., eggen, b.	2010	 design for the periphery
THE-UN~1.PDF	 bakker, s., van den hoven, e., eggen, b., overbeeke, k.	2012	" exploring peripheral interaction
    design for primary school teachers"
THE-UN~1.PDF	 balakrishnan, r., hinckley, k.	1999	" the role of kinesthetic reference frames in two-handed
    input performance"
THE-UN~1.PDF	 bi, x., grossman, t., matejka, j., fitzmaurice, g.	2011	" magic desk: bringing multi-touch
    surfaces into desktop work"
THE-UN~1.PDF	 boff, k.r., kaufman, l., thomas, j.p.	1986	" handbook of perception and human performance
    "
THE-UN~1.PDF	 bondarenko, o., ruud, j.	2005	" documents at hand: learning from paper to improve digital
    technologies"
THE-UN~1.PDF	 buxton, w., myers, b.a.	1986	 a study in two-handed input
THE-UN~1.PDF	 chen, x., marquardt, n., tang, a., boring, s., greenberg, s.	2012	" extending a mobile device’s
    interaction space through body-centric interaction"
THE-UN~1.PDF	 edge, d., blackwell, a.f.	2009	 peripheral tangible interaction by analytic design
THE-UN~1.PDF	 greenberg, s.	1993	" the computer user as toolsmith: the use, reuse, and organization of
    computer-based tools "
THE-UN~1.PDF	 guiard, y.	1987	" asymmetric division on labor in human skilled bimanual action: the
    kinematic chain as a model"
THE-UN~1.PDF	 gustafson, s., bierwirth, d., baudisch, p.	2010	" imaginary interfaces: spatial interaction with
    empty hands and without visual feedback"
THE-UN~1.PDF	 harrison, s., dourish, p.	1996	" re-place-ing space: the role of place and space in collaborative
    systems"
THE-UN~1.PDF	 hausen, d., boring, s., polleti, j., butz, a.	2012	" exploring design and combination of ambient
    information and peripheral interaction"
THE-UN~1.PDF	 hausen, d., boring, s., lueling, c., rodestock, s., butz, a.	2012	" statube: facilitating state
    management in instant messaging systems"
THE-UN~1.PDF	 hausen, d., wagner, c., boring, s., butz, a.	2013	" comparing modaltities and feedback for
    peripheral interaction"
THE-UN~1.PDF	 kabbash, p., buxton, w., sellen, a.	1994	 two-handed input in a compound task
THE-UN~1.PDF	" kane, s.k., avrahami, d., wobbrock, j.o., harrison, b., rea, a.d., philipose, m.,
    lamarca, a."	2009	 bonfire: a nomadic system for hybrid laptop-tabletop interaction
THE-UN~1.PDF	 lane, d.m., napier, h.a., peres, s.c., sandor, a.	2005	" hidden costs of graphical user
    interfaces: failure to make the transition from menus and icon toolbars to keyboard
    shortcuts"
THE-UN~1.PDF	 li, f.c.y., dearman, d., truong, k.n.	2009	" virtual shelves: interactions with orientation
    aware devices"
THE-UN~1.PDF	 lin, s., su, c., cheng, k., liang, r., kuo, t., chen, b.-y.	2011	" pub-point upon body:
    exploring eyes-free interaction and methods on an arm"
THE-UN~1.PDF	 malone, t.w.	1983	" how do people organize their desks?: implications for the design of office
    information systems"
THE-UN~1.PDF	 mine, m.r., brooks jr., f.p., sequin, c.h.	1997	" moving objects in space: exploiting
    proprioception in virtual-environment interaction"
THE-UN~1.PDF	 rekimoto, j., saitoh, m.	1999	" augmented surfaces: a spatially continuous work space for
    hybrid computing environments"
THE-UN~1.PDF	 rekimoto, j.	2001	" gesturewrist and gesturepad: unobtrusive wearable interaction devices.
    wearable computers, 21–27 "
THE-UN~1.PDF	 robertson, g., czerwinski, m., larson, k., robbins, d.c., thiel, d., dantzich, m.v.	1998	" data
    mountain: using spatial memory for document management"
THE-UN~1.PDF	 strachan, s., murray-smith, r., o’modhrain, s.	2001	" bodyspace: inferring body pose for
    natural control of a music player"
THE-UN~1.PDF	 weiss, m., voelker, s., borchers, j.	2009	" benddesk: seamless integration of horizontal and
    vertical multi-touch surfaces in desk environments"
THE-UN~1.PDF	 wellner, p.	1993	 interacting with paper on the digitaldesk
THE-UN~1.PDF	 wickens, c.d., mccarley, j.s.		
THE-UN~1.PDF	 wimmer, r., hennecke, f., schulz, f., boring, s., butz, a., hussmann, h.	2010	" curve:
    revisiting the digital desk"
WHEN-L~1.PDF	 hrastinski, s., et al.	2019	" critical imaginaries and reflections on artiﬁcial intelligence and robots
    in postdigital k-12 education"
WHEN-L~1.PDF	 humble, n., mozelius, p.	2019	 teacher-supported ai or ai-supported teachers?
WHEN-L~1.PDF	 gutwin, c., mccalla, g.	1992	 the use of pedagogic misrepresentation in tutorial dialogue
WHEN-L~1.PDF	"
    springer, heidelberg (1992). https"	1992	"//doi.org/10.1007/3-540-55606-0_60
 4"
WHEN-L~1.PDF	 adams, d.m., et al.	2014	" using erroneous examples to improve mathematics learning with a
    web-based tutoring system"
WHEN-L~1.PDF	 pardo, a., siemens, g.	2014	 ethical and privacy principles for learning analytics
WHEN-L~1.PDF	 slade, s., prinsloo, p.	2013	 learning analytics: ethical issues and dilemmas
WHEN-L~1.PDF	 felix, c.	2020	 the role of the teacher and ai in education
WHEN-L~1.PDF	 bodily, r., verbert, k.	2017	" trends and issues in student-facing learning analytics reporting
    systems research"
WHEN-L~1.PDF	 chase, c.c., chin, d.b., oppezzo, m.a., schwartz, d.l.	2009	" teachable agents and the protégé
    effect: increasing the effort towards learning"
WHEN-L~1.PDF	 matsuda, n., et al.	2013	" cognitive anatomy of tutor learning: lessons learned with simstudent.
    j"
WHEN-L~1.PDF	 pareto, l.	2014	" a teachable agent game engaging primary school children to learn arithmetic
    concepts and reasoning"
WHEN-L~1.PDF	 lenat, d.b., durlach, p.j.	2014	" reinforcing math knowledge by immersing students in a
    simulated learning-by-teaching experience"
WHEN-L~1.PDF	 rawls, j.	1972	 a theory of justice
WHEN-L~1.PDF	 du boulay, b.	2019	" escape from the skinner box: the case for contemporary intelligent learning
    environments"
AN-IND~1.PDF	 bagley, s.c., altman, r.b.	1995	" characterizing the microenvironment surrounding pro-
    tein sites"
AN-IND~1.PDF	" berman, h.m., westbrook, j., feng, z., gilliland, g., bhat, t.n., weissig,
    h., shindyalov, i.n., bourne, p.e."	2000	 the protein data bank
AN-IND~1.PDF	 betts, m.j., russell, r.b.	2003	" amino acid properties and consequences of substitu-
    tions"
AN-IND~1.PDF	 bobadilla, l., nino, f., narasimhan, g.	2004	" predicting and characterizing metal-
    binding sites using support vector machines"
AN-IND~1.PDF	 chakrabarti, r., klibanov, a.m., friesner, r.a.	2005	" computational prediction of na-
    tive protein ligand-binding and enzyme active site sequences"
AN-IND~1.PDF	" davis, j., burnside, e.s., de castro dutra, i., page, d., ramakrishnan, r., santos
    costa, v., shavlik, j."	2005	" view learning for statistical relational learning: with
    an application to mammography"
AN-IND~1.PDF	 davis, j., burnside, e.s., de castro dutra, i., page, d., santos costa, v.	2005	" an
    integrated approach to learning bayesian networks of rules"
AN-IND~1.PDF	 duda, r.o., hart, p.e., stork, d.g.	2001	 pattern classiﬁcation, 2nd edn
AN-IND~1.PDF	 finn, p., muggleton, s., page, d., srinivasan, a.	1998	" pharmacophore discovery using
    the inductive logic programming system progol"
AN-IND~1.PDF	 fox, m.a., whitesell, j.k.	2004	 organic chemistry, 3rd edn
AN-IND~1.PDF	" garcı́a-hernández, e., zubillaga, r.a., chavelas-adame, e.a., vázquez-contreras,
    e., rojo-domı́nguez, a., costas, m."	2003	" structural energetics of protein-carbohydrate
    interactions: insights derived from the study of lysozyme binding to its natural
    saccharide inhibitors"
AN-IND~1.PDF	 gilis, d., massar, s., cerf, n.j., rooman, m.	2001	" optimality of the genetic code with
    respect to protein stability and amino-acid frequencies"
AN-IND~1.PDF	 gold, n.d., jackson, r.m.	2006	" fold independent structural comparisons of protein-
    ligand binding sites for exploring functional relationships"
AN-IND~1.PDF	 guex, n., peitsch, m.c.	1997	" swiss-model and the swiss-pdbviewer: an environ-
    ment for comparative protein modeling"
AN-IND~1.PDF	 kadirvelraj, r., foley, b.l., dyekjær, j.d., woods, r.j.	2008	" involvement of water in
    carbohydrate-protein binding: concanavalin a revisited"
AN-IND~1.PDF	 khuri, s., bakker, f.t., dunwell, j.m.	2001	" phylogeny, function and evolution of the cu-
    pins, a structurally conserved, functionally diverse superfamily of proteins"
AN-IND~1.PDF	 malik, a., ahmad, s.	2007	" sequence and structural features of carbohydrate binding in
    proteins and assessment of predictability using a neural network"
AN-IND~1.PDF	 mitchell, t.m.	1997	 machine learning
AN-IND~1.PDF	 nassif, h., al-ali, h., khuri, s., keirouz, w.	2009	" prediction of protein-glucose binding
    sites using support vector machines"
AN-IND~1.PDF	 quiocho, f.a., vyas, n.k.	1999	" atomic interactions between proteins/enzymes and
    carbohydrates"
AN-IND~1.PDF	 rao, v.s.r., lam, k., qasba, p.k.	1998	" architecture of the sugar binding sites in
    carbohydrate binding proteins—a computer modeling study"
AN-IND~1.PDF	 santos costa, v.	2008	 the life of a logic programming system
AN-IND~1.PDF	 shionyu-mitsuyama, c., shirai, t., ishida, h., yamane, t.	2003	" an empirical approach
    for structure-based prediction of carbohydrate-binding sites on proteins"
AN-IND~1.PDF	 solomon, e., berg, l., martin, d.w.	2007	 biology, 8th edn
AN-IND~1.PDF	 srinivasan, a.	2007	 the aleph manual, 4th edn
AN-IND~1.PDF	 srinivasan, a., king, r.d., muggleton, s.h., sternberg, m.j.e.	1997	" carcinogenesis
    predictions using ilp"
AN-IND~1.PDF	 sujatha, m.s., balaji, p.v.	2004	" identiﬁcation of common structural features of binding
    sites in galactose-speciﬁc proteins"
AN-IND~1.PDF	 sujatha, m.s., sasidhar, y.u., balaji, p.v.	2004	" energetics of galactose and glucose-
    aromatic amino acid interactions: implications for binding in galactose-speciﬁc
    proteins"
AN-IND~1.PDF	 taroni, c., jones, s., thornton, j.m.	2000	" analysis and prediction of carbohydrate
    binding sites"
AN-IND~1.PDF	 wang, g., dunbrack, r.l.	2003	 pisces: a protein sequence culling server
AN-IND~1.PDF	" zhang, y., swaminathan, g.j., deshpande, a., boix, e., natesh, r., xie, z.,
    acharya, k.r., brew, k."	2003	" roles of individual enzyme-substrate interactions by
    alpha-1,3-galactosyltransferase in catalysis and speciﬁcity"
SHAPIN~1.PDF	 servi, l., elson, s.b.	2014	" a mathematical approach to gauging inﬂuence by identifying
    shifts in the emotions of social media users"
SHAPIN~1.PDF	 shmueli, e., singh, v.k., lepri, b., pentland, a.	2014	" sensing, understanding, and
    shaping social behavior"
SHAPIN~1.PDF	 petraki, e., abbass, h.	2014	" on trust and inﬂuence: a computational red teaming
    game theoreticperspective"
SHAPIN~1.PDF	" larson, e.v., darilek, r.e., gibran, d., nichiporuk, b., richardson, a., schwartz,
    l.h., thurston, c.q."	2009	" foundations of eﬀective inﬂuence operations: a framework
    forenhancing army capabilities"
SHAPIN~1.PDF	 reynolds, c.w.	1987	 flocks, herds and schools: a distributed behavioral model
SHAPIN~1.PDF	 montgomery, d.c.	2008	 design and analysis of experiments
COLLAB~1.PDF	 nganji, j.t., brayshaw, m.		" designing personalised learning resources for disabled students
    using an ontology-driven community of agents"
COLLAB~1.PDF	" igi global (2013)
 2. nganji, j.t., brayshaw, m., tompsett, b."	2013	" ontology-based e-learning personalisation for
    disabled students in higher education"
COLLAB~1.PDF	 nganji, j.t., brayshaw, m.	2011	" towards an ontology-based community of agents for
    personalisation of services for disabled students"
COLLAB~1.PDF	 nganji, j.t., et al.	2011	" describing and assessing image descriptions for visually impaired web
    users with idat"
COLLAB~1.PDF	 nganji, j.t., brayshaw, m., tompsett, b.	2013	" ontology-driven disability-aware e-learning
    personalisation with ontodaps"
COLLAB~1.PDF	 nganji, j.t., brayshaw, m.	2014	" designing and reflecting on disability-aware e-learning systems:
    the case of ontodaps"
COLLAB~1.PDF	 newell, a.	1982	 the knowledge level
COLLAB~1.PDF	 bellinger, g.	2004	" systems thinking: knowledge management – emerging perspectives, 18
    november 2004"
COLLAB~1.PDF	 minsky, m.	1987	 the society of mind
COLLAB~1.PDF	 laird, j.e., duchi, j.c.	2000	" creating human-like synthetic characters with multiple skill levels: a
    case study using the soar quakebot"
COLLAB~1.PDF	 laird, j.e.	2000	 it knows what you’re going to do: adding anticipation to a quakebot
COLLAB~1.PDF	 gordon, n.	2014	 flexible pedagogies: technology-enhanced learning
COLLAB~1.PDF	 gordon, n.	2009	" enabling personalised learning through formative and summative assessment.
    in: technology-supported environments for personalized learning: methods and case
    studies, pp"
COLLAB~1.PDF	 brayshaw, m., eisenstadt, m.	1991	 a practical graphical tracer for prolog (in english)
COLLAB~1.PDF	 brayshaw, m.	1993	 a flexible and customisable program visualisation architecture
COLLAB~1.PDF	 nganji, j.t.	2015	" the portable document format (pdf) accessibility practice of four journal
    publishers"
COLLAB~1.PDF	 lewin, k.		 resolving social conflicts; selected papers on group dynamics
COLLAB~1.PDF	 gordon, n.a.	2010	" group working and peer assessment—using webpa to encourage student
    engagement and participation"
COLLAB~1.PDF	 turing, a.m.		 computing machinery and intelligence
COLLAB~1.PDF	 belbin, m.	1981	 management teams
COLLAB~1.PDF	 beranek, g., zuser, w., grechenig, t.	2005	" functional group roles in software engineering
    teams"
COLLAB~1.PDF	 laird, j., rosenbloom, p., newell, a.	1986	" chunking in soar: the anatomy of a general learning
    mechanism (in english)"
COLLAB~1.PDF	 weizenbaum, j.	1966	" eliza - a computer program for the study of natural language
    communication between man and machine"
COLLAB~1.PDF	 the society for the study of artiﬁcial intelligence and simulation of behavior. in	2017	" the
    loebner prize, 10 february 2017"
COLLAB~1.PDF	 watt, s., zdrahal, z., brayshaw, m.	1995	" a multi-agent approach to conﬁguration and design
    tasks"
COLLAB~1.PDF	 belbin, m.	2017	 team roles, 5 february 2017
COLLAB~1.PDF	 anderson, j.r., reiser, b.j.	1985	 the lisp tutor (in english)
COLLAB~1.PDF	 weiser, m.	1993	 some computer-science issues in ubiquitous computing
COLLAB~1.PDF	 edx	2017	 edx, 7 february 2017
COLLAB~1.PDF	 coursera	2017	 coursera, 7 february 2017
COLLAB~1.PDF	 canvas	2014	 canvas learning management system, 1 september 2014
COLLAB~1.PDF	 futurelearn	2017	 futurelearn, 7 february 2017
COLLAB~1.PDF	 laurillard, d.	2014	 five myths about moocs, 16 january 2014
THE-EM~1.PDF	 gabrielsson, a., lindström, e.	2001	" the inﬂuence of musical structure on emotional
   expression"
THE-EM~1.PDF	 hevner, k.		 experimental studies of the elements of expression in music
THE-EM~1.PDF	 juslin, p., laukka, p.	2004	" expression, perception, and induction of musical emotions:
   a review and a questionnaire study of everyday listening"
THE-EM~1.PDF	 preston, s.d., de waal, f.b.m.	2003	 empathy: its ultimate and proximate bases
THE-EM~1.PDF	 rickard, n.s.	2004	" intense emotional responses to music: a test of the physiological
   arousal hypothesis"
THE-EM~1.PDF	 saragih, j., lucey, s., cohn, j.	2011	" deformable model ﬁtting by regularized landmark
   mean-shift"
THE-EM~1.PDF	 valstar, m., pantic, m.	2007	" combined support vector machines and hidden markov
   models for modeling facial action temporal dynamics"
THE-EM~1.PDF	 wallis, i., ingalls, t., campana, e.	2011	" a rule-based generative music system con-
   trolled by desired valence and arousal"
EXPOSI~1.PDF	 maston, g., evans, s., green, m.r.	2006	" transcriptional regulatory elements in the
    human genome"
EXPOSI~1.PDF	 vaquerizas, j., kummerfeld, s., teichmann, s., luscombe, n.	2009	" a census of human
    transcription factors: function, expression and evolution"
EXPOSI~1.PDF	 bannister, a.j., kouzarides, t.	2011	" regulation of chromatin by histone modiﬁcations.
    cell res"
EXPOSI~1.PDF	 levy, s.e., myers, r.m.	2016	 advancements in next-generation sequencing
EXPOSI~1.PDF	 encode project consortium	2012	" an integrated encyclopedia of dna elements in
    the human genome"
EXPOSI~1.PDF	 kundaje, a., et al.	2015	 integrative analysis of 111 reference human epigenomes
EXPOSI~1.PDF	 cheng, c., et al.	2011	" a statistical framework for modeling gene expression using chro-
    matin features and application to modencode datasets"
EXPOSI~1.PDF	 budden, d., hurley, d., cursons, j., markham, j., davis, m., crampin, e.	2014	" predict-
    ing expression: the complementary power of histone modiﬁcation and transcription
    factor binding data"
EXPOSI~1.PDF	 do rego, t.g., roider, h.g., de carvalho, f.a.t., costa, i.g.	2012	" inferring epigenetic
    and transcriptional regulation during blood cell development with a mixture of
    sparse linear models"
EXPOSI~1.PDF	 breiman, l.	1993	" hinging hyperplanes for regression, classiﬁcation, and function
    approximation"
EXPOSI~1.PDF	 amaldi, e., mattavelli, m.	2002	" the min pfs problem and piecewise linear model
    estimation"
EXPOSI~1.PDF	 manwani, n., sastry, p.	2015	 k-plane regression
EFFECT~2.PDF	 hoff, k.a., bashir, m.	2015	" trust in automation integrating empirical evidence on factors that
    influence trust"
EFFECT~2.PDF	 marusich, l.r., bakdash, j.z., onal, e., et al.	2016	" effects of information availability on
    command-and-control decision making performance, trust, and situation awareness"
EFFECT~2.PDF	 mayer, r.c., davis, j.h., schoorman, f.d.	1995	" an integrative model of organizational trust.
    acad"
EFFECT~2.PDF	 schoorman, f.d., mayer, r.c., davis, j.h.	2007	" an integrative model of organizational trust:
    past, present, and future"
EFFECT~2.PDF	 wheeler, s.	2015	 trusted autonomy: concept development in technology foresight
EFFECT~2.PDF	 lee, j.d., see, k.a.	2004	 trust in automation: designing for appropriate reliance
EFFECT~2.PDF	 mercado, j.e., rupp, m.a., chen, j.y.c., et al.	2016	" intelligent agent transparency in
    human-agent teaming for multi-uxv management"
EFFECT~2.PDF	 ososky, s., sanders, t., jentsch, f., et al.	2014	" determinants of system transparency and its
    influence on trust in and reliance on unmanned robotic systems"
EFFECT~2.PDF	 adobor, h.	2006	" optimal trust? uncertainty as a determinant and limit to trust in inter-ﬁrm
    alliances"
EFFECT~2.PDF	"1108/01437730610692407
10. parasuraman, r., sheridan, t.b., wickens, d.c."	2008	" situation awareness, mental workload, and
    trust in automation: viable, empirically supported cognitive engineering constructs"
EFFECT~2.PDF	 khawaji, a., chen, f., zhou, j., marcus, n.	2014	" trust and cognitive load in the text-chat
    environment: the role of mouse movement"
EFFECT~2.PDF	 smith, p.j., geddes, n.d., beatty, r.	2009	" human-centered design of decision-support systems.
    in: human-computer interaction: design issues, solutions, and applications "
EFFECT~2.PDF	 zhou, j., li, z., wang, y., chen, f.	2013	" transparent machine learning — revealing internal
    states of machine learning"
EFFECT~2.PDF	 zhou, j., khawaja, m.a., li, z., et al.	2016	" making machine learning useable by revealing
    internal states update — a transparent approach"
EFFECT~2.PDF	 winkler, r.l.	2015	" the importance of communicating uncertainties in forecasts: overestimating
    the risks from winter storm juno"
EFFECT~2.PDF	 beller, j., heesen, m., vollrath, m.	2013	" improving the driver-automation interaction an
    approach using automation uncertainty"
EFFECT~2.PDF	 candello, h.	2016	 user methods and approaches to design cognitive systems
EFFECT~2.PDF	 arshad, s.z., zhou, j., bridon, c., et al.	2015	" investigating user conﬁdence for uncertainty
    presentation in predictive decision making"
EFFECT~2.PDF	 rouse, w.b.	1988	 adaptive aiding for human/computer control
EFFECT~2.PDF	 byrne, e.a., parasuraman, r.	1996	 psychophysiology and adaptive automation
EFFECT~2.PDF	 moray, n., inagaki, t., itoh, m.	2000	" adaptive automation, trust, and self-conﬁdence in fault
    management of time-critical tasks"
EFFECT~2.PDF	 leclerc, j., joslyn, s.	2015	 the cry wolf effect and weather-related decision making
EFFECT~2.PDF	 uggirala, a., gramopadhye, a.k., melloy, b.j., toler, j.e.	2004	" measurement of trust in
    complex and dynamic systems using a quantitative approach"
EFFECT~2.PDF	 allen, p.m., edwards, j.a., snyder, f.j., et al.	2014	" the effect of cognitive load on decision
    making with graphically displayed uncertainty information"
EFFECT~2.PDF	 ibrekk, h., morgan, m.g.	1987	" graphical communication of uncertain quantities to nontechnical
    people"
EFFECT~2.PDF	 edwards, j.a., snyder, f.j., allen, p.m., et al.	2012	" decision making for risk management: a
    comparison of graphical methods for presenting quantitative uncertainty"
EFFECT~2.PDF	 kirschenbaum, s.s., trafton, j.g., schunn, c.d., trickett, s.b.	2014	" visualizing uncertainty the
    impact on performance"
EFFECT~2.PDF	 damghani, k.k., taghavifard, m.t., moghaddam, r.t.	2009	" decision making under uncertain
    and risky situations"
EFFECT~2.PDF	 de visser, e., parasuraman, r.	2011	" adaptive aiding of human-robot teaming effects of imperfect
    automation on performance, trust, and workload"
EFFECT~2.PDF	 li, z., zhang, b., wang, y., et al.	2014	" water pipe condition assessment: a hierarchical beta
    process approach for sparse incident data"
EFFECT~2.PDF	 deck, c., jahedi, s.	2015	" the effect of cognitive load on economic decision making: a survey and
    new experiments"
EFFECT~2.PDF	 arshad, s.z., wang, y., chen, f.	2015	" interactive mouse stream as real-time indicator of user’s
    cognitive load"
